order_id,customer_id,order_date,total_amount,payment_method,order_status,shipping_address,shipping_city,shipping_state,shipping_zip
3037,10307,2024-04-04 13:55:00,482.8,Google Pay,Shipped,3221 Meghan Skyway Apt. 902,Ashleyshire,OH,90626
3038,7925,2023-11-14 07:37:00,90.98,PayPal,Delivered,960 Scott Tunnel Apt. 872,North Charles,MH,19004
3039,4526,2023-05-07 19:07:00,1637.47,PayPal,Delivered,7468 Cook Prairie Apt. 934,Stacyborough,WA,04024
3040,8953,2023-12-16 15:50:00,96.54,Credit Card,Shipped,130 Warren Brook Suite 659,Lake Gregoryberg,WA,69266
3041,9687,2024-12-16 11:48:00,271.64,PayPal,Delivered,525 Chavez Gateway,Rachelview,MH,06249
3042,10351,2024-08-19 17:35:00,358.23,Credit Card,Delivered,23344 Williamson Plaza Suite 874,Lake Michelle,FM,03403
3043,4954,2024-02-06 13:27:00,6423.52,Debit Card,Shipped,9322 Ruth Parkway Suite 114,Williamsmouth,DC,11177
3044,9057,2024-07-11 16:15:00,2785.56,Credit Card,Delivered,273 Steven Dale Suite 155,Alexisside,NJ,05849
3045,6171,2024-07-13 18:49:00,3108.75,Debit Card,Delivered,3384 Amanda Village Suite 411,Port Jay,CO,57521
3046,2557,2023-07-22 22:28:00,641.43,PayPal,Delivered,97119 Daniel River,Lake Martha,CA,98012
3047,9226,2023-08-07 22:21:00,175.43,Bank Transfer,Returned,4224 Kerr Ports,East Matthew,RI,80238
3048,6152,2023-10-21 15:05:00,3954.68,Credit Card,Delivered,35037 Andrea Loop,East Mallory,AR,96959
3049,4159,2023-07-20 09:16:00,36.66,PayPal,Delivered,414 Michelle Brooks,Lake Timothy,GA,34418
3050,8365,2023-07-19 09:44:00,412.39,Debit Card,Delivered,427 Angela Square,Anthonyberg,NE,90460
3051,8643,2023-04-14 17:32:00,55.49,Debit Card,Shipped,78735 Flores Cliff Suite 262,Alexisland,TN,94820
3052,4984,2023-09-20 14:41:00,1009.82,Apple Pay,Delivered,32351 Clark Center Apt. 332,Brownburgh,PR,31115
3053,9617,2024-10-18 10:14:00,314.56,Apple Pay,Shipped,2385 Raymond Parks Suite 355,South Willie,IN,51350
3054,4750,2023-08-13 17:09:00,1642.4,Credit Card,Cancelled,0161 Calderon Ferry Apt. 210,Stephenton,NC,18910
3055,9507,2023-09-28 18:18:00,7130.12,Credit Card,Delivered,12881 Foster Circle Apt. 423,East Dennisland,PA,24189
3056,8761,2023-07-07 21:01:00,182.63,Bank Transfer,Delivered,16989 Martin Ports Suite 472,Acostamouth,FM,47050
3057,5021,2024-11-03 10:15:00,770.8,PayPal,Processing,90344 Edward Summit,Nguyenmouth,IA,66452
3058,10395,2023-10-13 19:43:00,8083.74,PayPal,Delivered,7636 Joshua Stravenue,Meltontown,MN,36328
3059,4714,2023-06-24 15:19:00,3510.24,Google Pay,Returned,534 Howard Crest Apt. 219,Joannside,MD,07056
3060,7099,2024-04-26 22:28:00,386.24,Credit Card,Shipped,328 Rodriguez Mission Apt. 693,Patriciabury,TX,32792
3061,8147,2024-10-03 18:03:00,203.88,Credit Card,Delivered,1433 Torres Station,Andersontown,PW,69999
3062,7128,2024-08-24 10:55:00,1207.96,Bank Transfer,Returned,609 Travis Causeway,Hansonport,OH,47285
3063,3333,2023-09-25 18:58:00,1189.06,Bank Transfer,Shipped,5968 Richard Grove,Port Robert,NY,63963
3064,2860,2024-09-13 10:22:00,5125.74,Apple Pay,Delivered,516 Fuller Pike Suite 005,Aaronville,AZ,43068
3065,3282,2024-08-15 07:28:00,676.24,Google Pay,Delivered,856 Christopher Square Suite 371,Banksland,KS,23804
3066,2629,2023-11-09 15:57:00,1199.12,Bank Transfer,Delivered,3592 Randy Isle Suite 026,Danielmouth,NY,94931
3067,5108,2023-11-26 07:35:00,2322.53,Apple Pay,Delivered,38665 Thomas Curve Suite 478,Tamaraland,VI,86651
3068,1123,2024-02-27 09:01:00,2792.36,Debit Card,Delivered,40095 Catherine Corner Suite 378,Larrychester,AL,82088
3069,10789,2023-07-13 20:39:00,202.33,Credit Card,Returned,4620 Matthew Loaf,Jamesside,MI,01984
3070,10858,2023-10-24 14:36:00,2117.64,Credit Card,Cancelled,261 Rodriguez Corner Apt. 247,Shawchester,MP,42211
3071,1228,2024-09-01 12:33:00,4152.94,PayPal,Delivered,777 Nancy Heights,East Jameschester,PW,85579
3072,4894,2023-04-22 14:47:00,2628.73,Credit Card,Delivered,13259 Rachael Rest Apt. 942,East Pamelaton,SD,48874
3073,5866,2024-11-21 10:12:00,919.9,PayPal,Delivered,6594 Manuel Inlet,West Robert,MS,43617
3074,4760,2024-05-24 19:15:00,1805.66,PayPal,Shipped,675 Patterson Valley Apt. 804,Lake Elizabethtown,GU,95410
3075,8728,2023-12-19 11:28:00,943.62,Debit Card,Delivered,9759 Solis Burgs Suite 476,Stokesville,NH,01716
3076,1821,2024-10-24 11:41:00,4926.0,Debit Card,Shipped,0284 Beth Isle Apt. 642,Williamstown,OH,87914
3077,2086,2023-07-09 22:05:00,70.2,Debit Card,Processing,390 Steven Extensions,Tracybury,CT,48110
3078,10650,2023-12-28 07:12:00,4460.37,Google Pay,Delivered,793 Glen Meadows Apt. 200,Lake Joe,MS,96348
3079,5884,2024-11-11 16:02:00,183.87,PayPal,Delivered,940 Sarah Mills Apt. 546,Bellbury,MN,25876
3080,8841,2023-06-07 21:09:00,42.0,Credit Card,Cancelled,292 Watkins Ferry,Rachelchester,FL,73115
3081,2208,2024-07-01 10:38:00,1634.8,Credit Card,Delivered,3791 Perry Turnpike Suite 480,West Lori,OK,37786
3082,10120,2024-06-26 21:52:00,47.63,Credit Card,Cancelled,192 Richard Ridges Apt. 880,Deborahland,NH,01696
3083,8063,2024-12-18 10:46:00,776.91,Credit Card,Shipped,681 Jennifer Prairie Suite 591,Nelsonmouth,GA,31293
3084,3253,2024-10-17 12:53:00,86.16,PayPal,Delivered,4601 Erica Lights,Port Josephton,PW,21197
3085,8696,2023-12-07 08:07:00,5393.72,Debit Card,Delivered,62636 Miller Springs Apt. 017,South Juliafort,DE,23166
3086,9521,2023-09-25 20:23:00,3432.04,PayPal,Cancelled,907 Patterson Isle Suite 102,Williamsport,RI,05264
3087,2875,2023-03-20 11:10:00,5572.2,Debit Card,Processing,72413 Rodgers Path,Arellanoville,NM,59578
3088,5204,2023-04-24 09:06:00,1731.75,Credit Card,Returned,12419 Huff Walk,Dukeport,PW,53161
3089,9845,2023-12-04 14:28:00,1708.71,Debit Card,Delivered,5284 Richard Haven,Christopherbury,AK,93723
3090,1242,2024-04-24 14:46:00,748.1,Debit Card,Delivered,2819 Carrie Burgs Apt. 819,South Desiree,KS,88820
3091,2939,2023-04-19 19:58:00,2848.12,Bank Transfer,Delivered,820 Alexander Locks Apt. 803,Curtisburgh,PR,67023
3092,9392,2023-08-22 09:54:00,454.49,Debit Card,Cancelled,27970 Christensen Cliffs,Russellmouth,ME,60896
3093,10617,2023-10-15 12:06:00,3553.51,Credit Card,Delivered,474 Duncan Union Suite 167,Nelsonchester,AL,52319
3094,3417,2023-12-20 11:22:00,56.8,Credit Card,Processing,823 Sara Pines Apt. 642,Kellyville,IA,14934
3095,5479,2024-02-08 07:21:00,4175.76,PayPal,Delivered,593 Kelly Divide,Elizabethtown,NV,40384
3096,5392,2023-10-23 20:25:00,9085.53,PayPal,Processing,887 David Haven,Port Brooke,PW,03824
3097,10998,2023-10-03 22:31:00,3560.64,PayPal,Delivered,6389 Aaron Squares Suite 091,Taylorburgh,VI,29196
3098,2127,2023-06-05 22:05:00,73.21,Debit Card,Delivered,431 Lyons Villages Apt. 897,Josephport,ID,57402
3099,8966,2024-05-12 10:48:00,196.41,Apple Pay,Processing,6314 Ryan Drive Apt. 587,Deanfurt,FM,49684
3100,9092,2023-06-27 11:58:00,5699.76,Apple Pay,Shipped,323 Sherry Glen,North Christopherchester,PA,86994
3101,1247,2023-04-02 21:36:00,1226.49,PayPal,Delivered,7124 Morrison Grove Suite 358,Davenportfort,OR,18015
3102,7092,2023-11-15 19:32:00,3087.26,Debit Card,Delivered,9220 Lori Glen,Haydenmouth,FL,89596
3103,4894,2024-03-04 18:37:00,2430.4,Bank Transfer,Shipped,7254 Tammy Junction,South Jamestown,KS,27090
3104,8091,2024-12-15 12:06:00,168.78,Credit Card,Delivered,6491 Matthew Views Suite 810,West Sergio,WA,61977
3105,2680,2024-04-05 07:43:00,414.07,Debit Card,Shipped,9445 King Circle,Port Alisonview,CA,90773
3106,1215,2024-12-20 22:55:00,2555.02,Credit Card,Delivered,033 Steve Mills Apt. 389,South Janiceside,DC,90306
3107,9196,2024-01-24 15:39:00,42.21,PayPal,Shipped,102 Smith Forest Suite 128,Brockburgh,OK,65992
3108,1651,2023-10-07 10:22:00,10242.89,Debit Card,Delivered,6751 Maria Trail,Port Caleb,MS,78048
3109,9432,2024-05-24 20:18:00,1397.4,Credit Card,Returned,46662 Mayo Harbor,North Richardview,CT,23895
3110,8946,2023-12-04 20:15:00,4590.28,Debit Card,Delivered,729 Cooper Lodge,North Eric,UT,20750
3111,3237,2024-11-15 16:43:00,395.41,Credit Card,Delivered,0037 Woods Hollow,Johnfort,NM,52264
3112,3406,2024-09-01 09:47:00,809.61,Debit Card,Delivered,5020 Levine Views Suite 917,West Rodney,PR,68749
3113,4377,2023-11-09 17:54:00,5837.88,Credit Card,Delivered,60741 Tapia Walks,Lake Carrieport,GA,51627
3114,6249,2023-10-13 16:53:00,2251.6,PayPal,Delivered,827 Juan Isle,Lake Paula,TN,47037
3115,10040,2024-07-04 11:18:00,645.7,Apple Pay,Processing,8056 Melissa Spurs Apt. 430,Karenhaven,CA,75556
3116,6787,2023-09-05 07:36:00,1058.16,Debit Card,Delivered,9090 Christina Vista,Reyesview,VI,02803
3117,5977,2023-09-15 19:00:00,1730.96,Credit Card,Delivered,1941 Hernandez Park Suite 438,Penatown,NM,27315
3118,1002,2023-10-14 15:52:00,977.21,Credit Card,Processing,660 Miller Squares Suite 450,New Leeview,GA,74005
3119,1400,2023-07-16 17:47:00,6862.34,Google Pay,Shipped,1551 Jorge Common,Jessicabury,CO,97120
3120,2635,2023-09-19 21:13:00,9729.78,Credit Card,Delivered,07391 Brett Cliff,Jamieborough,MH,87810
3121,10952,2024-09-04 19:20:00,544.18,Credit Card,Delivered,0175 Church Meadow Suite 528,South Gary,OR,54168
3122,1409,2024-09-02 15:53:00,461.06,Credit Card,Returned,77745 Joseph Glen,South Gloriaberg,VT,47119
3123,8458,2024-11-21 20:46:00,3109.94,Bank Transfer,Shipped,6751 Peters Summit Suite 054,Lake Howard,MP,35308
3124,1378,2023-09-13 15:52:00,688.88,Credit Card,Processing,8374 Robert Key Suite 823,Shannonbury,LA,29885
3125,7142,2023-11-01 19:25:00,4458.18,Credit Card,Delivered,32748 John Greens Suite 861,Isabelmouth,SC,75014
3126,1662,2023-06-26 10:58:00,65.31,Debit Card,Cancelled,748 Oconnell Vista,South Nicolemouth,ND,43767
3127,5616,2023-07-14 16:45:00,1378.73,Debit Card,Shipped,861 Maria Streets,Barrymouth,RI,62800
3128,7349,2023-06-12 15:08:00,296.88,Debit Card,Delivered,709 Joshua Brook Suite 432,Williamsfurt,LA,52156
3129,6766,2024-12-24 07:26:00,103.1,Credit Card,Delivered,970 Strickland Alley Apt. 538,North Justinchester,MT,10157
3130,5963,2023-09-13 21:59:00,5683.6,Apple Pay,Delivered,592 Lisa Spurs,Melissamouth,ID,08096
3131,5778,2024-04-10 17:13:00,295.21,Credit Card,Shipped,0915 Matthew Points Suite 644,Walkershire,MN,34388
3132,6407,2023-11-24 10:02:00,365.28,Debit Card,Delivered,515 Fox Lock Suite 018,East Amberport,LA,59022
3133,10805,2023-05-23 19:51:00,291.0,Apple Pay,Delivered,6582 Walker Squares,Graceberg,GU,45441
3134,9987,2024-09-15 18:02:00,5047.79,Debit Card,Cancelled,581 Amanda Ports,Hardymouth,NJ,35190
3135,6833,2024-07-02 20:11:00,13.52,Apple Pay,Returned,273 Gary Center,Port Tamaramouth,DE,24684
3136,6287,2024-06-19 11:13:00,444.08,Google Pay,Delivered,03464 Wilkins Flats Apt. 107,Thomasburgh,FM,35761
3137,9012,2023-11-24 07:51:00,4356.04,Google Pay,Delivered,07902 Steven Walk,Seanside,MN,04727
3138,2831,2023-01-20 22:16:00,1178.27,Debit Card,Delivered,1570 Christian Tunnel Apt. 670,South Katherine,IN,83482
3139,5777,2024-04-15 22:54:00,2183.41,Credit Card,Delivered,14172 Erik Plain,East David,CO,34975
3140,6610,2024-12-14 13:09:00,857.59,Credit Card,Delivered,89901 Carol Turnpike,Port Paulstad,AK,11139
3141,9729,2023-06-18 09:12:00,741.73,Debit Card,Delivered,1788 Charles Harbor Apt. 507,North Michele,VI,34856
3142,2456,2023-11-25 15:31:00,1567.45,Credit Card,Delivered,1005 Michele Keys,Armstrongmouth,NV,04869
3143,9625,2024-01-04 08:44:00,2639.43,Debit Card,Delivered,2513 Melissa Dale Suite 491,East Robert,IL,77717
3144,5071,2024-04-20 12:03:00,9770.37,Credit Card,Delivered,7223 Richard Underpass,New Krystal,ID,52079
3145,8789,2023-12-14 08:09:00,838.95,PayPal,Delivered,285 Daniel Harbors Suite 866,Katherinemouth,PR,15076
3146,5020,2024-07-12 21:21:00,5481.49,PayPal,Returned,14366 Fleming Island,Lake Ashley,RI,15153
3147,6682,2024-09-03 14:17:00,63.8,Debit Card,Delivered,53872 Joshua Turnpike,New Matthew,FM,65940
3148,1864,2024-08-24 19:00:00,150.37,Bank Transfer,Processing,413 Jeffrey Walk,West Robinberg,TX,48283
3149,3044,2023-08-08 09:16:00,7799.86,Bank Transfer,Delivered,6632 Tyler Parks Apt. 443,Burgessland,WA,74417
3150,8097,2023-08-05 17:52:00,3036.42,PayPal,Shipped,14981 David Loop Suite 217,Lake Walterchester,GU,85839
3151,4646,2024-10-24 11:41:00,729.48,Google Pay,Shipped,54947 Lisa Roads Suite 241,East Audreyland,AK,97308
3152,3864,2024-10-13 20:29:00,1037.22,Credit Card,Shipped,6783 Harmon Grove Suite 402,Lake Julieview,FL,03638
3153,4341,2024-11-03 17:05:00,9161.96,PayPal,Delivered,9406 Kayla Mill,Perezstad,OK,32070
3154,1514,2024-10-24 22:26:00,2122.93,Credit Card,Processing,131 Eric Lodge Apt. 012,Lake Jaymouth,OR,97309
3155,1773,2024-10-01 21:12:00,5363.19,Bank Transfer,Delivered,293 John Shores Apt. 365,Port Steve,CO,03323
3156,3844,2023-09-09 11:44:00,430.3,PayPal,Delivered,4438 Jennifer Spurs,Moodystad,PW,73469
3157,1162,2024-12-11 09:08:00,1689.75,Bank Transfer,Delivered,34785 Morales Viaduct,Bakerside,MD,78802
3158,5164,2023-04-06 22:21:00,1334.76,PayPal,Delivered,06807 Patrick Plaza,Wardmouth,AL,17366
3159,7531,2023-11-09 12:54:00,7050.88,Google Pay,Shipped,8342 Pineda Manor,Lake Andrew,NJ,18281
3160,10548,2024-01-11 07:57:00,218.51,PayPal,Cancelled,7334 Nguyen Underpass,North Shannontown,OK,67946
3161,8655,2023-09-21 21:27:00,2944.8,Apple Pay,Returned,17623 Chen Mill Apt. 034,Perezberg,RI,98073
3162,10227,2024-12-12 20:01:00,1806.02,Credit Card,Returned,3762 Darren Gateway Suite 237,Lake Matthew,NY,27083
3163,5862,2023-12-28 08:06:00,1827.62,Credit Card,Delivered,275 Amanda Prairie,Lake Rachelfort,VA,81390
3164,5513,2023-07-01 11:07:00,7840.88,Apple Pay,Shipped,40923 Simmons Light Apt. 583,Port Kyle,HI,96220
3165,7094,2024-09-14 17:53:00,1314.78,PayPal,Delivered,938 Tracy Turnpike Suite 863,New Lance,WI,23261
3166,4446,2023-10-28 12:55:00,1997.49,Debit Card,Returned,9359 Jones Court Suite 205,Erikabury,ME,74442
3167,6884,2023-09-15 20:18:00,7365.04,Credit Card,Delivered,650 Smith Turnpike,Maxwellville,SD,25426
3168,4634,2024-11-04 22:16:00,1946.69,Google Pay,Delivered,606 Peter Garden Apt. 831,South Christinatown,VA,20623
3169,8513,2023-05-25 20:43:00,7780.44,Credit Card,Delivered,456 Randall Court Apt. 957,Robertsfurt,AZ,40491
3170,5878,2023-08-23 14:41:00,1298.24,PayPal,Delivered,94392 Juarez Rapid Suite 107,Bryanberg,HI,96474
3171,4545,2023-10-07 13:40:00,5437.11,Apple Pay,Cancelled,69888 Travis Trail,South Kathleen,AR,64782
3172,6297,2023-08-10 11:26:00,6543.82,Credit Card,Delivered,748 Lauren Ridge,Lake Wesley,AS,16734
3173,2516,2023-11-27 21:37:00,1130.75,Credit Card,Delivered,2478 Ryan Prairie Apt. 646,Evansside,FL,64211
3174,10378,2024-08-11 20:38:00,3270.36,PayPal,Delivered,636 Mejia Shoal Apt. 648,Jeffreyton,SD,57921
3175,8530,2023-03-24 07:30:00,2287.44,Apple Pay,Shipped,4856 Wilson Prairie,South Brenda,AR,22581
3176,5090,2024-03-04 11:44:00,385.64,Debit Card,Delivered,1548 Teresa Pines Suite 958,Port Erin,MT,41663
3177,2793,2024-06-04 13:27:00,813.84,Bank Transfer,Returned,064 Julie Ferry,South Dalefort,MH,08864
3178,10384,2023-08-01 19:47:00,6082.77,Google Pay,Delivered,80374 Gray Haven,West Tylerberg,WA,88032
3179,1767,2023-04-12 18:57:00,1393.09,Debit Card,Delivered,7307 Stewart Junction Suite 764,East Gregory,MS,26670
3180,7846,2023-10-18 22:27:00,1048.57,PayPal,Processing,3777 Jessica Burg Suite 887,South Sandra,ND,66989
3181,9424,2024-01-09 15:09:00,8691.13,PayPal,Delivered,47177 Matthew Causeway,Lake Leonardport,CO,50502
3182,2125,2024-12-02 18:57:00,545.92,Google Pay,Cancelled,500 Andrea Heights Apt. 772,Brendafort,CT,07610
3183,6765,2023-08-14 16:22:00,26.66,Bank Transfer,Processing,0776 Christine Inlet Suite 958,West Michelleborough,PA,18790
3184,7294,2024-09-08 08:23:00,8210.32,PayPal,Delivered,882 Julie Island,Carlosmouth,HI,84116
3185,1973,2023-10-04 08:03:00,43.56,Credit Card,Delivered,350 Everett Freeway Suite 335,Swansonborough,NJ,62185
3186,1205,2024-08-06 17:13:00,2072.52,Debit Card,Delivered,7680 John Harbor,New Randy,AZ,92176
3187,9797,2023-05-20 20:53:00,491.32,PayPal,Delivered,972 Gregory Spur Apt. 817,Lake Steven,AK,69663
3188,2654,2023-12-16 20:14:00,8.06,Credit Card,Delivered,0171 Schroeder Summit Apt. 005,Jennifertown,CT,08318
3189,1967,2024-06-24 10:42:00,15388.94,Debit Card,Delivered,4819 Tracy Ridge Suite 039,South Katelyn,WI,06745
3190,9362,2023-08-17 09:36:00,2811.31,Credit Card,Delivered,547 Lauren Loop Suite 271,Laurastad,UT,13024
3191,6875,2023-10-28 13:03:00,57.19,Credit Card,Shipped,1733 Foley Lodge,South Annettemouth,IN,09916
3192,2245,2023-12-22 12:44:00,5396.53,PayPal,Delivered,529 Madison Shore Apt. 946,Port Karenburgh,AL,92811
3193,1621,2023-12-12 09:30:00,1279.69,Google Pay,Processing,92977 Rhodes Manor Apt. 109,West Edgar,VA,38263
3194,3903,2023-10-25 10:05:00,5204.36,Credit Card,Processing,08483 Holt Lake Suite 553,East Brandonmouth,DC,91516
3195,4609,2024-02-23 16:34:00,2264.57,Apple Pay,Shipped,5812 Nelson Springs Suite 706,East David,MI,33642
3196,2071,2023-12-26 22:48:00,2784.66,Credit Card,Returned,55298 Rose Villages,Smithside,PR,08460
3197,5342,2024-12-11 12:20:00,202.98,Credit Card,Delivered,9171 Davenport Tunnel Suite 716,North Dominique,ND,16472
3198,5072,2024-11-19 14:54:00,15.03,Credit Card,Delivered,1864 Schultz Key,Cookton,VA,37269
3199,5052,2023-11-17 10:34:00,5511.63,Credit Card,Cancelled,1955 Karen Hills Apt. 755,Anthonyhaven,ID,98197
3200,2920,2023-12-09 22:07:00,2226.84,Google Pay,Processing,48120 Bradshaw Branch Apt. 174,Michaelburgh,MS,37386
3201,5799,2023-09-11 09:18:00,1691.4,Apple Pay,Returned,51019 Lopez Rue,Antonioborough,PA,68814
3202,9034,2024-12-12 17:57:00,1805.83,Credit Card,Shipped,01912 Todd Parkway Suite 042,South Rubenfurt,PW,29995
3203,3146,2024-07-06 21:19:00,90.68,Debit Card,Delivered,28796 Linda Port Apt. 721,Johnview,FL,83598
3204,4257,2024-11-10 11:40:00,5589.81,PayPal,Delivered,340 Lauren Loaf,Weekshaven,WA,88460
3205,3108,2023-03-19 08:25:00,1332.15,Debit Card,Cancelled,023 Ashlee Stravenue Apt. 467,Davidland,OK,25730
3206,1082,2024-12-17 17:02:00,491.79,Credit Card,Returned,147 Tamara Mountain Apt. 518,Josephborough,MA,06668
3207,4117,2024-07-04 19:58:00,4791.0,Credit Card,Delivered,651 Jordan Rapid Apt. 173,Lake Tracystad,SD,16878
3208,3644,2024-07-10 09:34:00,955.4,PayPal,Shipped,5234 Antonio Pike,Lake Richardville,WV,05363
3209,3111,2024-09-04 09:35:00,7685.5,Bank Transfer,Cancelled,709 Young View Suite 260,South Juanborough,IA,42053
3210,3263,2023-11-20 12:30:00,1398.89,Bank Transfer,Shipped,24607 Murray Common,North Wayne,VI,59317
3211,3567,2023-11-19 16:03:00,17.64,Apple Pay,Cancelled,631 Cheryl Stravenue,Port Claireberg,SC,44034
3212,4091,2023-11-11 19:14:00,3971.72,Bank Transfer,Delivered,905 Hill Springs Apt. 136,Elizabethbury,GA,45765
3213,2827,2024-11-10 10:05:00,2862.66,Google Pay,Cancelled,186 Simpson Parkways,Marychester,SC,41468
3214,6352,2023-11-20 14:01:00,5598.46,Debit Card,Delivered,2994 Simmons Expressway,South Patricia,NE,46862
3215,3890,2024-08-23 13:15:00,1250.83,PayPal,Cancelled,458 Kent Rue,New Davidside,OR,58983
3216,5235,2023-09-20 19:14:00,5378.28,PayPal,Delivered,81595 Clark Grove Apt. 470,East Mary,PA,37501
3217,9756,2023-05-09 09:55:00,3393.34,Bank Transfer,Shipped,967 Omar Ridge Apt. 144,West Michellestad,AK,88236
3218,8019,2023-10-02 21:34:00,3922.08,PayPal,Shipped,95023 Erin Bridge,Garzachester,TX,99213
3219,1786,2024-05-16 21:29:00,564.62,PayPal,Processing,085 Martin Cliffs,Jessemouth,OR,64142
3220,9001,2023-06-24 16:51:00,405.96,Credit Card,Delivered,78124 Melanie Hollow Apt. 197,Port Michelle,NJ,20353
3221,8763,2024-07-09 15:57:00,195.66,Credit Card,Returned,97302 David Glens,Martinchester,DE,93009
3222,2283,2024-05-06 19:10:00,5193.38,Credit Card,Delivered,6964 Bowman Mountains Suite 523,West Luisfurt,NC,49187
3223,9266,2023-05-26 14:25:00,3390.25,Google Pay,Shipped,98062 Eric Branch Suite 868,South Cherylchester,VT,68959
3224,5906,2023-11-23 21:44:00,2758.12,Bank Transfer,Shipped,47923 Gaines Lane,Brookstown,MN,04732
3225,4432,2024-05-22 18:43:00,86.7,Credit Card,Delivered,517 Smith Locks Suite 342,Port Jessica,NH,57142
3226,10294,2024-06-05 22:54:00,4527.19,Debit Card,Delivered,9524 Jeffrey Turnpike Apt. 652,Andrewside,NJ,32821
